date_label,read_only_scope,read_write_scope
08/05/2021,712,602
09/09/2021,716,890
09/28/2021,722,1026
03/03/2022,735,1719
03/06/2022,735,1778
04/14/2022,757,3096
04/28/2022,758,3183
06/15/2022,760,3365
08/01/2022,763,3555
09/01/2022,766,3756
09/09/2022,767,3804
09/13/2022,768,3832
09/19/2022,769,3858
09/23/2022,770,3876
09/27/2022,771,3896
08/02/2022,771,3917
08/31/2022,775,4121
12/06/2022,775,4177
01/17/2023,775,4271
03/20/2023,784,4532
04/10/2023,784,4609
05/08/2023,784,4712
06/21/2023,788,4842
07/24/2023,780,4986
08/21/2023,784,5169
09/25/2023,782,5369
10/30/2023,781,5516
04/23/2024,806,6009
07/09/2024,814,6271
08/23/2024,821,6562
09/23/2024,824,6745
01/08/2025,831,7117
02/02/2025,832,7228
03/12/2025,830,7333
03/24/2025,832,7378
03/24/2025,832,7378
03/30/2025,832,7393
04/04/2025,832,7419
04/06/2025,832,7420
04/13/2025,832,7454
04/20/2025,832,7472
04/21/2025,832,7478
04/21/2025,832,7478
04/24/2025,832,7487
04/27/2025,832,7491
05/11/2025,833,7536
05/14/2025,833,7542
05/15/2025,833,7546
05/19/2025,834,7557
05/25/2025,834,7574
05/25/2025,834,7574
06/01/2025,835,7592
06/08/2025,836,7630
06/12/2025,836,7645
06/15/2025,835,7656
06/20/2025,835,7677
06/22/2025,835,7679
06/29/2025,836,7708
07/06/2025,837,7752
07/13/2025,838,7788
07/20/2025,844,7836
07/27/2025,847,7904
08/03/2025,847,7942
08/10/2025,847,7975
08/15/2025,845,8006
08/17/2025,845,8011
08/22/2025,847,8030
08/24/2025,847,8032
08/31/2025,847,8062
09/07/2025,848,8115
09/14/2025,848,8161
