ID,Name,ror
grid.473856.b,Administration for Children and Families (ACF),https://ror.org/00g8hms52
grid.473794.a,Administration for Community Living (ACL),https://ror.org/00vf4jm23
grid.452934.d,Advanced Research Projects Agency-Energy (ARPA-E),https://ror.org/03q1rgc19
grid.413404.6,Agency for Healthcare Research and Quality (AHRQ),https://ror.org/03jmfdf59
grid.453168.d,Agency for Toxic Substances and Disease Registry (ATSDR),https://ror.org/0045x2741
grid.463419.d,Agricultural Research Service (ARS),https://ror.org/02d2m2044
grid.427848.5,Air Force Institute of Technology (AFIT),https://ror.org/03f9f1d95
grid.419075.e,Ames Research Center (ARC),https://ror.org/02acart68
grid.413759.d,Animal and Plant Health Inspection Service (APHIS),https://ror.org/0599wfz09
grid.187073.a,Argonne National Laboratory (ANL),https://ror.org/05gvnxz63
grid.202665.5,Brookhaven National Laboratory (BNL),https://ror.org/02ex6cf31
grid.468484.2,Center for Enabling New Technologies Through Catalysis (CENTC),https://ror.org/033zy4a51
grid.410422.1,Center for Information Technology (CIT),https://ror.org/03jh5a977
grid.473771.1,Center for Neuroscience and Regenerative Medicine (CNRM),https://ror.org/04dmgsx60
grid.453876.b,Center for Scientific Review (CSR),https://ror.org/04r5s4b52
grid.457888.e,Center for Selective CH Functionalization (NSF CCHF),https://ror.org/02h8v7m77
grid.416738.f,Centers for Disease Control and Prevention (CDC),https://ror.org/042twtr12
grid.413874.d,Centers for Medicare and Medicaid Services (CMS),https://ror.org/02g02rq35
grid.453107.4,Climate Program Office (CPO),https://ror.org/00mmmy130
funder.201191,Combat Casualty Care Research Program (CCCRP),
grid.496791.4,Congressionally Directed Medical Research Programs (CDMRP),https://ror.org/03g2zjp07
grid.421816.8,Defense Advanced Research Projects Agency (DARPA),https://ror.org/02caytj08
grid.453336.4,Defense Logistics Agency (DLA),https://ror.org/001yrmh12
grid.452918.3,Defense Threat Reduction Agency (DTRA),https://ror.org/04tz64554
funder.57700,"Department of Defense, Small Business Innovation Research (DOD SBIR)",https://ror.org/038nwvj35
grid.457768.f,Directorate for Biological Sciences (NSF BIO),https://ror.org/001xhss06
grid.457785.c,Directorate for Computer & Information Science & Engineering (NSF CISE),https://ror.org/025kzpk63
grid.457799.1,Directorate for Education & Human Resources (NSF EHR),https://ror.org/014bj5w56
grid.457810.f,Directorate for Engineering (NSF ENG),https://ror.org/00b6sbb32
grid.457836.b,Directorate for Geosciences (NSF GEO),https://ror.org/05p847d66
grid.457875.c,Directorate for Mathematical & Physical Sciences (NSF MPS),https://ror.org/029b7h395
grid.457916.8,"Directorate for Social, Behavioral & Economic Sciences (NSF SBE)",https://ror.org/03h7mcc28
grid.515271.5,"Directorate for Technology, Innovation and Partnerships (NSF TIP)",https://ror.org/01ghfgz70
grid.467627.6,Division of Acquisition and Cooperative Support (DACS),https://ror.org/04evh7y43
grid.467624.5,Division of Antarctic Infrastructure and Logistics (NSF AIL),https://ror.org/03z9hh605
grid.457878.1,Division of Astronomical Sciences (NSF AST),https://ror.org/04mg8wm74
grid.457839.4,Division of Atmospheric and Geospace Sciences (NSF AGS),https://ror.org/037gd6g64
grid.457920.d,Division of Behavioral and Cognitive Sciences (NSF BCS),https://ror.org/05wgkzg12
grid.457770.6,Division of Biological Infrastructure (NSF DBI),https://ror.org/04qn9mx93
grid.457813.c,"Division of Chemical, Bioengineering, Environmental, and Transport Systems (NSF CBET)",https://ror.org/0471zv972
grid.457885.3,Division of Chemistry (NSF CHE),https://ror.org/01ar8dr59
grid.457814.b,"Division of Civil, Mechanical & Manufacturing Innovation (NSF CMMI)",https://ror.org/028yd4c30
grid.457794.c,Division of Computer and Network Systems (NSF CNS),https://ror.org/02rdzmk74
